"RunDate","Id","DisplayName","Mail","UserPrincipalName","ExternalDomain","CreatedDateTime","CreationType","ExternalUserState","ExternalUserStateChangeDateTime","AccountEnabled","LastSignInDateTime","LastNonInteractiveSignInDateTime","LastSuccessfulSignInDateTime"
"2026-04-01","67a9f990-a05b-e84e-3c17-8d9ed64f6b65","Jordan Lindqvist (partner3.example.com)","jordan.lindqvist@partner3.example.com","jordan.lindqvist_partner3.example.com#EXT#@example.onmicrosoft.com","partner3.example.com","2026-01-11T10:33:18Z","Invitation","PendingAcceptance","2026-01-11T10:33:18Z","True","","",""
"2026-04-01","a7904480-073a-9e17-7a77-8a169ba405ad","Gray Silva (partner4.example.com)","gray.silva@partner4.example.com","gray.silva_partner4.example.com#EXT#@example.onmicrosoft.com","partner4.example.com","2026-03-21T15:45:34Z","Invitation","PendingAcceptance","2026-03-21T15:45:34Z","True","","",""
"2026-04-01","c7b3bf13-7660-794d-c863-e6350633715f","Avery Abara (partner6.example.com)","avery.abara@partner6.example.com","avery.abara_partner6.example.com#EXT#@example.onmicrosoft.com","partner6.example.com","2026-02-17T17:14:01Z","Invitation","PendingAcceptance","2026-02-17T17:14:01Z","True","","",""
"2026-04-01","a02b96fa-eed6-ce68-6f07-ae284a76274e","Parker Takahashi (partner7.example.com)","parker.takahashi@partner7.example.com","parker.takahashi_partner7.example.com#EXT#@example.onmicrosoft.com","partner7.example.com","2026-02-17T13:08:46Z","Invitation","PendingAcceptance","2026-02-17T13:08:46Z","True","","",""
"2026-04-01","a35d431e-0643-0355-f718-ee18c51c9bbf","Casey Okonkwo (partner8.example.com)","casey.okonkwo@partner8.example.com","casey.okonkwo_partner8.example.com#EXT#@example.onmicrosoft.com","partner8.example.com","2026-02-26T18:52:10Z","Invitation","PendingAcceptance","2026-02-26T18:52:10Z","True","","",""
"2026-04-01","0ab03139-29b2-4be1-c6ce-c440bc7fba48","Indigo Rasmussen (partner10.example.com)","indigo.rasmussen@partner10.example.com","indigo.rasmussen_partner10.example.com#EXT#@example.onmicrosoft.com","partner10.example.com","2026-02-09T16:05:39Z","Invitation","PendingAcceptance","2026-02-09T16:05:39Z","True","","",""
"2026-04-01","7fd125a7-29ec-51b4-e4f6-84a2facf791e","Harper Rasmussen (partner3.example.com)","harper.rasmussen@partner3.example.com","harper.rasmussen_partner3.example.com#EXT#@example.onmicrosoft.com","partner3.example.com","2026-01-19T14:30:04Z","Invitation","Accepted","2026-01-22T21:30:04Z","True","","",""
"2026-04-01","b7f3c38a-68a2-7f10-bbf9-0f9f42a07f26","Avery Haddad (partner5.example.com)","avery.haddad@partner5.example.com","avery.haddad_partner5.example.com#EXT#@example.onmicrosoft.com","partner5.example.com","2026-02-20T14:24:25Z","Invitation","Accepted","2026-02-23T22:24:25Z","True","","",""
"2026-04-01","7660dd0f-bbd8-cf76-8d5f-685ef3c160f3","Wren Fontaine (partner6.example.com)","wren.fontaine@partner6.example.com","wren.fontaine_partner6.example.com#EXT#@example.onmicrosoft.com","partner6.example.com","2026-03-12T11:01:05Z","Invitation","Accepted","2026-03-12T19:01:05Z","True","","",""
"2026-04-01","dafb4783-e9f9-cbba-00a2-5a8236e4ccd1","Harper Gallagher (partner7.example.com)","harper.gallagher@partner7.example.com","harper.gallagher_partner7.example.com#EXT#@example.onmicrosoft.com","partner7.example.com","2026-02-25T17:33:41Z","Invitation","Accepted","2026-03-03T07:33:41Z","True","","",""
