"CreationTime","Id","Operation","UserId","Workload","SiteUrl","ObjectId","SourceFileName","TargetUserOrGroupName","TargetUserOrGroupType"
"2026-01-04T11:57:21Z","0a64a2e2-80a7-b229-bbb4-25d68d20cf38","AnonymousLinkCreated","marlowe.quintero@example.com","OneDrive","https://example-my.sharepoint.com/personal/avery_abara_example_com/","https://example-my.sharepoint.com/personal/avery_abara_example_com/Shared Documents/Architecture Review.pptx","Architecture Review.pptx","",""
"2026-01-05T16:27:43Z","00a3f887-76dc-73b6-bf5b-66dcc4c4afc9","AnonymousLinkCreated","vale.vasquez@example.com","OneDrive","https://example-my.sharepoint.com/personal/avery_abara_example_com/","https://example-my.sharepoint.com/personal/avery_abara_example_com/Shared Documents/Pricing Model.xlsx","Pricing Model.xlsx","",""
"2026-01-12T13:16:41Z","95e09080-df61-192f-b7ab-3480eeb245c8","AnonymousLinkCreated","logan.ibarra2@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Statement of Work.docx","Statement of Work.docx","",""
"2026-01-13T08:04:58Z","c649ec34-0a37-0a3c-27d6-3b89dcf40ded","AnonymousLinkCreated","blair.gallagher@example.com","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Security Questionnaire.docx","Security Questionnaire.docx","",""
"2026-01-14T08:11:59Z","8b1bd2cc-5c84-5afc-303a-82596b6e9d16","AnonymousLinkCreated","kai.silva@example.com","SharePoint","https://example.sharepoint.com/sites/launch/","https://example.sharepoint.com/sites/launch/Shared Documents/Migration Plan.docx","Migration Plan.docx","",""
"2026-01-14T09:13:39Z","fa3ac0e6-148e-1854-85e3-d0496b13f1e8","AnonymousLinkCreated","noor.silva@example.com","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","",""
"2026-01-14T17:43:49Z","ff869dfd-6d91-c378-d4b4-0cf168c7df6d","AnonymousLinkCreated","xan.nakamura@example.com","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Statement of Work.docx","Statement of Work.docx","",""
"2026-01-16T10:27:39Z","b43f2169-647f-33a5-9c34-6dba54b7a661","AnonymousLinkUsed","urn:spo:anon#663701","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Security Questionnaire.docx","Security Questionnaire.docx","",""
"2026-01-17T15:53:51Z","be664d80-8ae6-5b0d-81c8-06a39c7fe4c5","AnonymousLinkCreated","tatum.zawadzki@example.com","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Rollout Schedule.xlsx","Rollout Schedule.xlsx","",""
"2026-01-18T12:57:11Z","c4fb19f9-8e93-d188-5950-403e28830765","AnonymousLinkCreated","umi.xiong@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Pricing Model.xlsx","Pricing Model.xlsx","",""
"2026-01-18T14:18:50Z","eb969953-4dab-2e8d-9777-11c4bedcbb8b","AnonymousLinkCreated","indigo.fontaine@example.com","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Rollout Schedule.xlsx","Rollout Schedule.xlsx","",""
"2026-01-19T08:36:00Z","66c67f65-ea2d-b831-90eb-cf8bc3754b02","AnonymousLinkCreated","emery.silva@example.com","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Statement of Work.docx","Statement of Work.docx","",""
"2026-01-20T09:09:12Z","38df3711-2ce5-89fc-ac0c-24e161e4b60b","SharingSet","noor.haddad@example.com","SharePoint","https://example.sharepoint.com/sites/launch/","https://example.sharepoint.com/sites/launch/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","harper.rasmussen@partner3.example.com","Guest"
"2026-01-22T13:24:23Z","cde0923d-0df8-ca3e-5360-a1418b947c0a","AnonymousLinkCreated","quinn.fontaine@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Security Questionnaire.docx","Security Questionnaire.docx","",""
"2026-01-23T18:17:59Z","56e3a3f3-06b0-239b-6a24-91334c20a23d","SharingSet","gray.abara@example.com","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Architecture Review.pptx","Architecture Review.pptx","umi.ibarra@partner10.example.com","Guest"
"2026-01-24T11:46:23Z","4ab65fd4-68cc-932b-2c14-de366c6a82e0","AnonymousLinkUsed","urn:spo:anon#319878","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Rollout Schedule.xlsx","Rollout Schedule.xlsx","",""
"2026-01-24T14:29:53Z","a7d2e732-cde9-dd0d-9955-4209742e419e","AnonymousLinkCreated","vale.ueda@example.com","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Architecture Review.pptx","Architecture Review.pptx","",""
"2026-01-24T17:31:21Z","362f8855-6d16-429b-e294-d191f6154ca4","SharingSet","sage.yilmaz@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Migration Plan.docx","Migration Plan.docx","kai.ibarra@partner2.example.com","Guest"
"2026-01-25T14:17:31Z","a75ac7ba-94b5-9fd7-cd22-c49292d6076d","SharingSet","sage.yilmaz@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Security Questionnaire.docx","Security Questionnaire.docx","kai.ibarra@partner2.example.com","Guest"
"2026-01-26T15:30:44Z","f21f9bf7-ecff-8c5d-537e-d0410b10f06a","AnonymousLinkCreated","wren.bergstrom@example.com","OneDrive","https://example-my.sharepoint.com/personal/avery_abara_example_com/","https://example-my.sharepoint.com/personal/avery_abara_example_com/Shared Documents/Rollout Schedule.xlsx","Rollout Schedule.xlsx","",""
"2026-01-26T19:27:05Z","8a9de916-8518-6990-4407-ac0df217eb0c","SharingSet","tatum.delacroix@example.com","SharePoint","https://example.sharepoint.com/sites/vendors/","https://example.sharepoint.com/sites/vendors/Shared Documents/Security Questionnaire.docx","Security Questionnaire.docx","reese.ibarra@partner7.example.com","Guest"
"2026-01-27T07:08:48Z","603528c0-2b86-285c-654b-2c81288f3ba9","AnonymousLinkUsed","urn:spo:anon#483361","SharePoint","https://example.sharepoint.com/sites/sunfish/","https://example.sharepoint.com/sites/sunfish/Shared Documents/Statement of Work.docx","Statement of Work.docx","",""
"2026-01-27T12:35:09Z","6fa3071d-613b-57b8-e614-4c5c542c786b","AnonymousLinkCreated","wren.zawadzki@example.com","OneDrive","https://example-my.sharepoint.com/personal/avery_abara_example_com/","https://example-my.sharepoint.com/personal/avery_abara_example_com/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","",""
"2026-01-27T16:36:44Z","ca4b16e7-e84b-dd15-f8ee-5caf884d1f6b","AnonymousLinkUsed","urn:spo:anon#429969","SharePoint","https://example.sharepoint.com/sites/launch/","https://example.sharepoint.com/sites/launch/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","",""
"2026-01-29T09:07:53Z","66ff8615-3d97-3f14-4833-a9d68e601f41","AnonymousLinkCreated","drew.lindqvist@example.com","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","",""
"2026-01-29T13:19:02Z","0032922b-87ae-3d10-6c07-eb0df54ba1ad","SharingSet","parker.kowalski@example.com","SharePoint","https://example.sharepoint.com/sites/northwind/","https://example.sharepoint.com/sites/northwind/Shared Documents/Rollout Schedule.xlsx","Rollout Schedule.xlsx","reese.moreau@partner6.example.com","Guest"
